RANK,NAME,STORAGE,VALUETYPE,KEYLEVEL,ORDERLEVEL,MISSINGSTRING,GROUPNAME,DESCRIPTION
0,Day,date,continuous,0,0,,,
1,Hires,integer,continuous,0,0,,,
